DC,Effect,Treatment
3,Sliced Eye,"Roll to randomly determine your left or right eye. You've taken a grievous wound across this eye. It is nonfunctional, and if not treated within 12 hours, your vision will be permanently missing. Treatment - A DC20 Save Sense Surgery."
4,Severed Limb,"Roll on the Large Limb Table. The intensity of the blow has sliced your limb clean off. It lands severed at your feet and is considered missing. Treatment - A DC 22 Save Limb Surgery."
5,Severed Appendage,"Roll on the Small Appendage Table. The savagery of the blow has severed one of your small appendages. It lands at your feet and is considered missing. Treatment - A DC 22 Save Limb Surgery."
6,Exsanguinating,"The attack has hit one of your vital points and opened a large artery. You are bleeding out. At the end of each turn, take one level of exhaustion. Treatment - A DC 16 Wisdom (Medicine) check staunches bleeding. On a failed save you do not take a level of exhaustion at the end of your next turn. You may reattempt this check."
7,Hemorrhaging,"You see blood pour from your wound and you feel a bit light headed. At the end of each turn you take damage to your maximum hit points scaled to the damage that caused the lingering injury: 1-10 damage (1d4), 11-20 damage (1d6), 21-30 damage (1d8), 31-40 damage (1d10), >40 damage (1d12). Treatment - A DC 11 Wisdom (Medicine) check staunches the bleeding. You may reattempt this check."
8,Bleeding,"You see blood trickling from your wound. It's not a lot, but it adds up. At the end of each turn you take damage to your maximum hit points scaled to the damage that caused the lingering injury: 1-10 damage (1d2), 11-20 damage (1d4), 21-30 damage (1d6), 31-40 damage (1d8), >40 damage (1d10). Treatment - A DC 10 Wisdom (Medicine) check staunches the bleeding. You may reattempt this check."
9,Festering Wound,"Your wound looks angry near its edges and stubbornly refuses to heal. You cannot heal hit points through nonmagical means (such as short or long rests). Treatment - Once per long rest you may make a DC 18 Wisdom (Medicine) check to heal this injury."
10,Leg Laceration,"You've taken a long, painful slash to one of your legs. Your speed is reduced by 10 feet. This injury lasts 1d8 days. Treatment - A DC 15 Wisdom (Medicine) check reduces the duration of this injury by 1d6 days."
11,Sinuous Scar,"Roll on the Scar Chart. You are left with a thin, sinuous scar on this area of your body."
12,Hypertrophic Scar,"Roll on the Scar Chart. You are left with a thick, raised scar on this area of your body."
13,Stubborn Bleeding,"You see blood trickling from your wound. It must be a nicked vein because it's difficult to staunch. At the end of each turn you take damage to your maximum hit points scaled to the damage that caused the lingering injury: 1-10 damage (1d2), 11-20 damage (1d4), 21-30 damage (1d6), 31-40 damage (1d8), >40 damage (1d10). Treatment - A DC 14 Wisdom (Medicine) check staunches the bleeding. You may reattempt this check."
14,Stubborn Hemorrhaging,"With every beat of your heart you can feel your lifeblood spilling out. At the end of each turn you take damage to your maximum hit points scaled to the damage that caused the lingering injury: 1-10 damage (1d4), 11-20 damage (1d6), 21-30 damage (1d8), 31-40 damage (1d10), >40 damage (1d12). Treatment - A DC 15 Wisdom (Medicine) check staunches the bleeding. You may reattempt this check."
15,Aesthetic Scar,"Roll on the Scar Chart. You are left with a scar that look particularly well placed on you. When this scar is visible you have a +1 bonus to Charisma (Persuasion) checks. If you collect multiple Aesthetic Scars, this bonus does not stack."
16,Traumatic Amputation,"Roll on the Small Appendage Table. The savage slash has cloven your appendage from you, flinging it into the distance. It lands 15 feet away in a random direction and is considered missing. Treatment - A DC 22 Save Limb Surgery."
17,Hamstrung,"You feel the cut rake across the back of your leg, and you stumble, crying out in pain. Your speed is reduced by 10 feet. Treatment - A DC20 Save Limb Surgery."
18,Sliced Ear,"Roll to randomly determine your left or right ear. You've taken a grievous wound across this ear. It is nonfunctional, and if not treated within 12 hours, your hearing will be permanently missing. Treatment - A DC20 Save Sense Surgery."
